time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:13.933607,9.8,40,14
2024-03-11 22:44:05.643371,9.8,40,14
2024-03-11 23:07:59.968004,7.7,100,14
2024-03-12 00:31:09.358911,7.7,98,16
2024-03-12 01:38:36.722327,7.7,98,16
2024-03-12 02:12:59.193515,7.7,98,16
2024-03-12 03:08:14.079926,7.7,98,16
2024-03-12 04:08:44.000048,7.7,98,16
2024-03-12 05:08:47.454377,7.7,98,14
2024-03-12 06:09:05.552512,7.7,98,14
2024-03-12 07:07:11.405581,7.7,98,14
2024-03-12 08:08:56.227493,7.7,98,16
2024-03-12 09:07:43.633639,7.7,98,18
2024-03-12 10:07:19.191970,7.7,98,17
2024-03-12 11:05:07.386894,7.7,98,18
2024-03-12 12:11:46.475501,7.7,98,16
2024-03-12 13:07:04.487740,7.7,98,13
2024-03-12 14:06:34.889503,7.7,98,15
2024-03-12 15:06:44.200335,7.7,98,12
2024-03-12 16:09:01.129505,7.7,98,10
2024-03-12 17:07:01.585902,7.7,98,11
2024-03-12 18:08:43.574948,7.7,98,9
2024-03-12 19:04:50.112248,7.7,98,9
2024-03-12 20:07:29.654768,7.7,98,11
2024-03-12 21:07:15.401226,7.7,98,12
2024-03-12 22:06:29.778962,7.7,98,15
2024-03-12 23:07:41.340887,6.6,0,15
2024-03-13 00:31:09.137575,6.6,0,15
2024-03-13 01:41:44.474102,6.6,0,15
2024-03-13 02:15:37.296335,6.6,0,15
2024-03-13 03:08:58.291698,6.6,0,15
2024-03-13 04:08:20.006594,6.6,0,15
2024-03-13 05:07:39.068035,6.6,0,14
2024-03-13 06:09:36.637616,6.6,0,11
2024-03-13 07:06:42.039607,6.6,0,12
2024-03-13 08:08:54.749832,6.6,0,12
2024-03-13 09:07:47.828978,6.6,0,14
2024-03-13 10:07:38.237011,6.6,0,14
2024-03-13 11:07:47.875389,6.6,0,16
2024-03-13 12:12:32.869628,6.6,0,11
2024-03-13 13:06:46.542082,6.6,0,5
2024-03-13 14:06:53.857331,6.6,0,3
2024-03-13 15:07:43.299202,6.6,0,13
2024-03-13 16:08:01.305861,6.6,0,9
2024-03-13 17:29:01.432476,6.6,0,12
2024-03-13 18:08:34.656453,6.6,0,10
2024-03-13 19:06:17.362510,6.6,0,11
2024-03-13 20:06:56.648211,6.6,0,7
2024-03-13 21:07:27.765508,6.6,0,6
2024-03-13 22:06:34.379697,6.6,0,2
2024-03-13 23:07:20.415397,6.0,0,2
2024-03-14 00:30:57.027184,6.0,0,2
2024-03-14 01:39:09.820961,6.0,0,2
2024-03-14 02:13:28.167411,6.0,0,2
2024-03-14 03:08:01.170915,6.0,0,1
2024-03-14 04:08:21.515903,6.0,0,1
2024-03-14 05:06:45.163149,6.0,0,0
2024-03-14 06:09:02.255914,6.0,0,0
2024-03-14 07:07:50.294797,6.0,0,2
