time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:05.063371,9.8,40,13
2024-03-11 22:43:59.893865,9.8,40,13
2024-03-11 23:07:53.136558,7.8,100,13
2024-03-12 00:31:00.970122,7.8,98,14
2024-03-12 01:38:31.108266,7.8,98,14
2024-03-12 02:12:52.339194,7.8,98,14
2024-03-12 03:08:08.309581,7.8,98,14
2024-03-12 04:08:38.351385,7.8,98,14
2024-03-12 05:08:40.622997,7.8,98,13
2024-03-12 06:08:59.784945,7.8,98,14
2024-03-12 07:07:01.923193,7.8,98,18
2024-03-12 08:08:50.640386,7.8,98,19
2024-03-12 09:07:37.869452,7.8,98,20
2024-03-12 10:07:12.382413,7.8,98,19
2024-03-12 11:05:01.505223,7.8,98,17
2024-03-12 12:11:36.949947,7.8,98,15
2024-03-12 13:06:55.161758,7.8,98,7
2024-03-12 14:06:29.219521,7.8,98,3
2024-03-12 15:06:38.577378,7.8,98,0
2024-03-12 16:08:55.254938,7.8,98,2
2024-03-12 17:06:55.639718,7.8,98,0
2024-03-12 18:08:37.947494,7.8,98,5
2024-03-12 19:04:44.294598,7.8,98,9
2024-03-12 20:07:23.844837,7.8,98,8
2024-03-12 21:07:08.546738,7.8,98,7
2024-03-12 22:06:23.991171,7.8,98,7
2024-03-12 23:07:32.963358,6.7,0,9
2024-03-13 00:31:03.389462,6.7,0,9
2024-03-13 01:41:35.484127,6.7,0,9
2024-03-13 02:15:28.543011,6.7,0,9
2024-03-13 03:08:48.802310,6.7,0,7
2024-03-13 04:08:13.190697,6.7,0,6
2024-03-13 05:07:33.440833,6.7,0,4
2024-03-13 06:09:30.836462,6.7,0,4
2024-03-13 07:06:32.524438,6.7,0,11
2024-03-13 08:08:46.410183,6.7,0,17
2024-03-13 09:07:42.166537,6.7,0,20
2024-03-13 10:07:29.875715,6.7,0,19
2024-03-13 11:07:42.063480,6.7,0,19
2024-03-13 12:12:26.015741,6.7,0,16
2024-03-13 13:06:37.150236,6.7,0,10
2024-03-13 14:06:44.452303,6.7,0,6
2024-03-13 15:07:37.544621,6.7,0,8
2024-03-13 16:07:54.482722,6.7,0,10
2024-03-13 17:28:55.774166,6.7,0,11
2024-03-13 18:08:27.846698,6.7,0,5
2024-03-13 19:06:11.699515,6.7,0,4
2024-03-13 20:06:50.812640,6.7,0,3
2024-03-13 21:07:21.906323,6.7,0,1
2024-03-13 22:06:28.642183,6.7,0,2
2024-03-13 23:07:10.891294,6.1,0,2
2024-03-14 00:30:48.628563,6.1,0,3
