time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:09.667568,10.2,40,5
2024-03-11 22:44:02.765889,10.2,40,6
2024-03-11 23:07:56.566859,7.5,100,6
2024-03-12 00:31:05.164696,7.5,98,6
2024-03-12 01:38:33.921735,7.5,98,6
2024-03-12 02:12:55.768741,7.5,98,6
2024-03-12 03:08:11.196698,7.5,98,6
2024-03-12 04:08:41.171023,7.5,98,6
2024-03-12 05:08:44.041742,7.5,98,6
2024-03-12 06:09:02.678594,7.5,98,7
2024-03-12 07:07:06.663429,7.5,98,8
2024-03-12 08:08:53.430888,7.5,98,11
2024-03-12 09:07:40.752892,7.5,98,11
2024-03-12 10:07:15.805962,7.5,98,13
2024-03-12 11:05:04.449679,7.5,98,13
2024-03-12 12:11:41.714181,7.5,98,9
2024-03-12 13:06:59.842019,7.5,98,11
2024-03-12 14:06:32.053970,7.5,98,7
2024-03-12 15:06:41.385159,7.5,98,12
2024-03-12 16:08:58.186128,7.5,98,11
2024-03-12 17:06:58.588248,7.5,98,11
2024-03-12 18:08:40.753971,7.5,98,12
2024-03-12 19:04:47.214107,7.5,98,10
2024-03-12 20:07:26.746362,7.5,98,12
2024-03-12 21:07:11.966869,7.5,98,13
2024-03-12 22:06:26.894044,7.5,98,18
2024-03-12 23:07:37.156286,6.4,0,19
2024-03-13 00:31:06.262531,6.4,0,19
