time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:15.354037,11.5,40,14
2024-03-11 22:44:06.595319,11.5,40,14
2024-03-11 23:08:01.112224,7.7,100,14
2024-03-12 00:31:10.757649,7.7,98,14
2024-03-12 01:38:37.657341,7.7,98,14
2024-03-12 02:13:00.338110,7.7,98,14
2024-03-12 03:08:15.056725,7.7,98,14
2024-03-12 04:08:44.942548,7.7,98,14
2024-03-12 05:08:48.592507,7.7,98,14
2024-03-12 06:09:06.509432,7.7,98,18
2024-03-12 07:07:12.987863,7.7,98,8
2024-03-12 08:08:57.155790,7.7,98,5
2024-03-12 09:07:44.584199,7.7,98,7
2024-03-12 10:07:20.327991,7.7,98,9
2024-03-12 11:05:08.357945,7.7,98,9
2024-03-12 12:11:48.064694,7.7,98,10
2024-03-12 13:07:06.054733,7.7,98,15
2024-03-12 14:06:35.833922,7.7,98,14
2024-03-12 15:06:45.138915,7.7,98,6
2024-03-12 16:09:02.114136,7.7,98,5
2024-03-12 17:07:02.582193,7.7,98,4
2024-03-12 18:08:44.513367,7.7,98,4
2024-03-12 19:04:51.076335,7.7,98,6
2024-03-12 20:07:30.616039,7.7,98,5
2024-03-12 21:07:16.534628,7.7,98,6
2024-03-12 22:06:30.730514,7.7,98,6
2024-03-12 23:07:42.735683,7.4,0,6
2024-03-13 00:31:10.091262,7.4,0,6
2024-03-13 01:41:45.980651,7.4,0,6
2024-03-13 02:15:38.752339,7.4,0,6
2024-03-13 03:08:59.866474,7.4,0,6
2024-03-13 04:08:21.150224,7.4,0,6
2024-03-13 05:07:40.006215,7.4,0,8
2024-03-13 06:09:37.607270,7.4,0,9
2024-03-13 07:06:43.631172,7.4,0,11
2024-03-13 08:08:56.138473,7.4,0,13
2024-03-13 09:07:48.768899,7.4,0,15
2024-03-13 10:07:39.630989,7.4,0,15
2024-03-13 11:07:48.833542,7.4,0,14
2024-03-13 12:12:34.006552,7.4,0,18
2024-03-13 13:06:48.101389,7.4,0,16
2024-03-13 14:06:55.415983,7.4,0,12
2024-03-13 15:07:44.251556,7.4,0,10
2024-03-13 16:08:02.443681,7.4,0,15
2024-03-13 17:29:02.369388,7.4,0,13
2024-03-13 18:08:35.785554,7.4,0,14
2024-03-13 19:06:18.308980,7.4,0,11
2024-03-13 20:06:57.616195,7.4,0,13
2024-03-13 21:07:28.741562,7.4,0,13
2024-03-13 22:06:35.342679,7.4,0,14
2024-03-13 23:07:21.989639,7.3,0,14
2024-03-14 00:30:58.426295,7.3,0,13
2024-03-14 01:39:10.973785,7.3,0,13
2024-03-14 02:13:29.101701,7.3,0,13
2024-03-14 03:08:02.118338,7.3,0,13
2024-03-14 04:08:22.446767,7.3,0,13
2024-03-14 05:06:46.585290,7.3,0,14
2024-03-14 06:09:03.234740,7.3,0,16
2024-03-14 07:07:51.225090,7.3,0,12
2024-03-14 08:09:22.330341,7.3,0,12
2024-03-14 09:07:04.646263,7.3,0,14
2024-03-14 10:07:35.856260,7.3,0,15
2024-03-14 11:05:20.415331,7.3,0,18
2024-03-14 12:13:08.168530,7.3,0,19
2024-03-14 13:07:11.982934,7.3,0,16
2024-03-14 14:06:52.848681,7.3,0,14
2024-03-14 15:43:27.268884,7.3,0,12
2024-03-14 16:08:56.895159,7.3,0,10
2024-03-14 17:06:25.467355,7.3,0,8
2024-03-14 18:08:33.653307,7.3,0,9
2024-03-14 19:05:22.564378,7.3,0,12
2024-03-14 20:07:54.213472,7.3,0,12
2024-03-14 21:07:12.619579,7.3,0,11
2024-03-14 22:06:26.231642,7.3,0,13
2024-03-14 23:06:53.973518,9.3,0,14
2024-03-15 00:31:21.670501,9.3,0,14
2024-03-15 01:40:11.442717,9.3,0,14
2024-03-15 02:14:29.931392,9.3,0,14
2024-03-15 03:07:46.281506,9.3,0,14
2024-03-15 04:09:15.618634,9.3,0,14
2024-03-15 05:08:09.886813,9.3,0,16
2024-03-15 06:09:31.611852,9.3,0,19
2024-03-15 07:07:35.210504,9.3,0,19
2024-03-15 08:09:15.954781,9.3,0,20
2024-03-15 09:07:09.705946,9.3,0,6
2024-03-15 10:07:06.130375,9.3,0,7
2024-03-15 11:05:21.440767,9.3,0,10
2024-03-15 12:11:37.286218,9.3,0,15
2024-03-15 13:07:55.601814,9.3,0,18
2024-03-15 14:07:27.134288,9.3,0,11
2024-03-15 15:07:06.859043,9.3,0,16
