time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:03.620344,11.4,40,12
2024-03-11 22:43:58.932993,11.4,40,11
2024-03-11 23:07:52.009129,7.6,100,11
2024-03-12 00:30:59.566005,7.6,98,11
2024-03-12 01:38:30.172991,7.6,98,11
2024-03-12 02:12:51.190503,7.6,98,11
2024-03-12 03:08:07.335990,7.6,98,11
2024-03-12 04:08:37.396036,7.6,98,11
2024-03-12 05:08:39.487738,7.6,98,12
2024-03-12 06:08:58.833947,7.6,98,13
2024-03-12 07:07:00.344435,7.6,98,14
2024-03-12 08:08:49.706631,7.6,98,16
2024-03-12 09:07:36.910727,7.6,98,12
2024-03-12 10:07:11.250259,7.6,98,14
2024-03-12 11:05:00.527253,7.6,98,15
2024-03-12 12:11:35.363306,7.6,98,13
2024-03-12 13:06:53.609016,7.6,98,9
2024-03-12 14:06:28.276896,7.6,98,9
2024-03-12 15:06:37.640583,7.6,98,6
2024-03-12 16:08:54.265724,7.6,98,7
2024-03-12 17:06:54.650130,7.6,98,7
2024-03-12 18:08:37.012197,7.6,98,8
2024-03-12 19:04:43.324596,7.6,98,7
2024-03-12 20:07:22.879770,7.6,98,4
2024-03-12 21:07:07.408960,7.6,98,6
2024-03-12 22:06:23.039421,7.6,98,5
2024-03-12 23:07:31.565150,7.4,0,5
2024-03-13 00:31:02.435161,7.4,0,6
2024-03-13 01:41:34.009906,7.4,0,6
2024-03-13 02:15:27.084562,7.4,0,6
2024-03-13 03:08:47.212047,7.4,0,6
2024-03-13 04:08:12.041410,7.4,0,6
2024-03-13 05:07:32.483504,7.4,0,6
2024-03-13 06:09:29.855218,7.4,0,9
2024-03-13 07:06:30.942874,7.4,0,9
2024-03-13 08:08:45.018118,7.4,0,9
2024-03-13 09:07:41.224220,7.4,0,11
