time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:14.900059,8.9,40,17
2024-03-11 22:44:06.272208,8.9,40,17
2024-03-11 23:08:00.726200,7.5,100,17
2024-03-12 00:31:10.291975,7.5,98,17
2024-03-12 01:38:37.345471,7.5,98,17
2024-03-12 02:12:59.960820,7.5,98,17
2024-03-12 03:08:14.731717,7.5,98,17
2024-03-12 04:08:44.626348,7.5,98,17
2024-03-12 05:08:48.209607,7.5,98,17
2024-03-12 06:09:06.185574,7.5,98,18
2024-03-12 07:07:12.463299,7.5,98,20
2024-03-12 08:08:56.845642,7.5,98,20
2024-03-12 09:07:44.267448,7.5,98,12
2024-03-12 10:07:19.945622,7.5,98,12
2024-03-12 11:05:08.034008,7.5,98,12
2024-03-12 12:11:47.533891,7.5,98,11
2024-03-12 13:07:05.532965,7.5,98,13
2024-03-12 14:06:35.519461,7.5,98,12
2024-03-12 15:06:44.826991,7.5,98,11
2024-03-12 16:09:01.785954,7.5,98,9
2024-03-12 17:07:02.251637,7.5,98,9
2024-03-12 18:08:44.200398,7.5,98,9
2024-03-12 19:04:50.754458,7.5,98,11
2024-03-12 20:07:30.296222,7.5,98,11
2024-03-12 21:07:16.152159,7.5,98,10
2024-03-12 22:06:30.412949,7.5,98,10
2024-03-12 23:07:42.270917,7.3,0,10
2024-03-13 00:31:09.776816,7.3,0,10
2024-03-13 01:41:45.477822,7.3,0,10
2024-03-13 02:15:38.266410,7.3,0,10
2024-03-13 03:08:59.340334,7.3,0,10
2024-03-13 04:08:20.768399,7.3,0,10
2024-03-13 05:07:39.691943,7.3,0,10
2024-03-13 06:09:37.281194,7.3,0,12
2024-03-13 07:06:43.106479,7.3,0,13
2024-03-13 08:08:55.675410,7.3,0,14
2024-03-13 09:07:48.455963,7.3,0,15
2024-03-13 10:07:39.167659,7.3,0,14
2024-03-13 11:07:48.517817,7.3,0,15
2024-03-13 12:12:33.622987,7.3,0,16
2024-03-13 13:06:47.591578,7.3,0,15
2024-03-13 14:06:54.903949,7.3,0,14
2024-03-13 15:07:43.929383,7.3,0,10
2024-03-13 16:08:02.059226,7.3,0,9
2024-03-13 17:29:02.055518,7.3,0,8
2024-03-13 18:08:35.411054,7.3,0,9
2024-03-13 19:06:17.990900,7.3,0,11
2024-03-13 20:06:57.293154,7.3,0,10
2024-03-13 21:07:28.416136,7.3,0,9
2024-03-13 22:06:35.020201,7.3,0,9
2024-03-13 23:07:21.470394,6.4,0,9
2024-03-14 00:30:57.959994,6.4,0,9
2024-03-14 01:39:10.588231,6.4,0,9
2024-03-14 02:13:28.790791,6.4,0,9
2024-03-14 03:08:01.802168,6.4,0,9
2024-03-14 04:08:22.137599,6.4,0,9
2024-03-14 05:06:46.107011,6.4,0,9
2024-03-14 06:09:02.913085,6.4,0,12
2024-03-14 07:07:50.915495,6.4,0,13
