time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:15.847095,9.9,40,9
2024-03-11 22:44:06.917917,9.9,40,8
2024-03-11 23:08:01.488003,7.9,100,8
2024-03-12 00:31:11.224361,7.9,98,8
2024-03-12 01:38:37.968895,7.9,98,8
2024-03-12 02:13:00.720231,7.9,98,8
2024-03-12 03:08:15.378793,7.9,98,8
2024-03-12 04:08:45.254586,7.9,98,8
2024-03-12 05:08:48.968106,7.9,98,7
2024-03-12 06:09:06.833795,7.9,98,7
2024-03-12 07:07:13.512654,7.9,98,12
2024-03-12 08:08:57.465107,7.9,98,11
2024-03-12 09:07:44.907863,7.9,98,10
2024-03-12 10:07:20.710088,7.9,98,11
2024-03-12 11:05:08.682918,7.9,98,9
2024-03-12 12:11:48.598853,7.9,98,9
2024-03-12 13:07:06.578284,7.9,98,9
