time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:11.559652,10.3,40,10
2024-03-11 22:44:04.043718,10.3,40,10
2024-03-11 23:07:58.075522,7.6,100,10
2024-03-12 00:31:07.030739,7.6,98,10
2024-03-12 01:38:35.166727,7.6,98,10
2024-03-12 02:12:57.289190,7.6,98,10
2024-03-12 03:08:12.479856,7.6,98,10
2024-03-12 04:08:42.428522,7.6,98,10
2024-03-12 05:08:45.557879,7.6,98,10
2024-03-12 06:09:03.962548,7.6,98,10
2024-03-12 07:07:08.767725,7.6,98,9
2024-03-12 08:08:54.668927,7.6,98,9
2024-03-12 09:07:42.014914,7.6,98,8
2024-03-12 10:07:17.320751,7.6,98,7
2024-03-12 11:05:05.750908,7.6,98,8
2024-03-12 12:11:43.835175,7.6,98,5
2024-03-12 13:07:01.905051,7.6,98,3
2024-03-12 14:06:33.310449,7.6,98,5
2024-03-12 15:06:42.633608,7.6,98,4
2024-03-12 16:08:59.478198,7.6,98,4
2024-03-12 17:06:59.908849,7.6,98,4
2024-03-12 18:08:42.013841,7.6,98,1
2024-03-12 19:04:48.490854,7.6,98,2
2024-03-12 20:07:28.040158,7.6,98,0
2024-03-12 21:07:13.494055,7.6,98,0
2024-03-12 22:06:28.186933,7.6,98,0
2024-03-12 23:07:39.018561,6.5,0,1
2024-03-13 00:31:07.543725,6.5,0,0
2024-03-13 01:41:41.965160,6.5,0,0
2024-03-13 02:15:34.867499,6.5,0,0
2024-03-13 03:08:55.655461,6.5,0,0
2024-03-13 04:08:18.105376,6.5,0,0
2024-03-13 05:07:37.510171,6.5,0,0
2024-03-13 06:09:35.016615,6.5,0,0
2024-03-13 07:06:39.406901,6.5,0,0
2024-03-13 08:08:52.432870,6.5,0,1
2024-03-13 09:07:46.246045,6.5,0,12
2024-03-13 10:07:35.916317,6.5,0,11
2024-03-13 11:07:46.263236,6.5,0,10
2024-03-13 12:12:30.965835,6.5,0,13
2024-03-13 13:06:43.935927,6.5,0,11
2024-03-13 14:06:51.243577,6.5,0,13
2024-03-13 15:07:41.698923,6.5,0,12
2024-03-13 16:07:59.423134,6.5,0,13
2024-03-13 17:28:59.866597,6.5,0,14
2024-03-13 18:08:32.763491,6.5,0,14
2024-03-13 19:06:15.791590,6.5,0,14
2024-03-13 20:06:55.015541,6.5,0,15
2024-03-13 21:07:26.138816,6.5,0,14
2024-03-13 22:06:32.776571,6.5,0,14
2024-03-13 23:07:17.771509,4.7,0,14
2024-03-14 00:30:54.693470,4.7,0,14
2024-03-14 01:39:07.905435,4.7,0,14
2024-03-14 02:13:26.612731,4.7,0,14
2024-03-14 03:07:59.593174,4.7,0,14
2024-03-14 04:08:19.965949,4.7,0,14
2024-03-14 05:06:42.825156,4.7,0,14
2024-03-14 06:09:00.620882,4.7,0,13
2024-03-14 07:07:48.736240,4.7,0,13
