time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-22 08:09:39.625449,11.0,11,0
2024-03-22 09:08:44.784401,11.0,11,0
2024-03-22 10:07:09.905712,11.0,11,0
2024-03-22 11:06:12.608145,11.0,11,20
2024-03-22 12:12:26.506724,11.0,11,13
2024-03-22 13:06:30.684180,11.0,11,13
2024-03-22 14:07:06.917054,11.0,11,15
2024-03-22 15:06:56.714834,11.0,11,16
2024-03-22 16:09:35.124493,11.0,11,10
2024-03-22 17:05:38.231742,11.0,11,10
2024-03-22 18:08:56.712130,11.0,11,10
2024-03-22 19:04:25.382039,11.0,11,11
2024-03-22 20:07:19.374001,11.0,11,11
2024-03-22 21:06:47.046335,11.0,11,11
2024-03-22 22:06:38.967048,11.0,11,11
2024-03-22 23:06:50.468754,8.0,0,11
2024-03-23 00:30:41.633344,8.0,0,11
2024-03-23 01:37:04.111729,8.0,0,11
2024-03-23 02:13:40.766823,8.0,0,11
2024-03-23 03:09:05.475147,8.0,0,11
2024-03-23 04:09:21.217076,8.0,0,12
2024-03-23 05:07:14.261039,8.0,0,12
2024-03-23 06:12:26.266235,8.0,0,12
2024-03-23 07:08:03.054344,8.0,0,12
2024-03-23 08:07:48.598838,8.0,0,12
2024-03-23 09:07:08.843577,8.0,0,12
2024-03-23 10:07:10.741066,8.0,0,11
2024-03-23 11:04:01.114906,8.0,0,12
2024-03-23 12:12:32.710015,8.0,0,12
2024-03-23 13:05:11.312646,8.0,0,10
2024-03-23 14:04:55.421796,8.0,0,10
2024-03-23 15:08:52.851350,8.0,0,11
2024-03-23 16:07:15.576116,8.0,0,15
2024-03-23 17:06:24.741342,8.0,0,15
2024-03-23 18:07:49.443699,8.0,0,15
2024-03-23 19:03:42.446569,8.0,0,15
2024-03-23 20:07:44.912671,8.0,0,15
2024-03-23 21:04:50.727708,8.0,0,15
2024-03-23 22:07:08.633881,8.0,0,15
2024-03-23 23:06:20.012581,5.9,100,15
2024-03-24 00:34:54.968056,5.9,100,15
2024-03-24 01:44:49.556142,5.9,100,16
2024-03-24 02:18:28.297860,5.9,100,16
2024-03-24 03:07:26.849444,5.9,100,16
2024-03-24 04:08:28.701184,5.9,100,16
2024-03-24 05:07:42.956443,5.9,100,16
2024-03-24 06:08:48.599300,5.9,100,16
2024-03-24 07:05:38.603146,5.9,100,16
2024-03-24 08:08:30.277310,5.9,100,16
2024-03-24 09:07:34.371773,5.9,100,15
2024-03-24 10:06:34.770820,5.9,100,17
2024-03-24 11:04:20.992410,5.9,100,16
2024-03-24 12:11:38.931899,5.9,100,16
2024-03-24 13:07:40.196335,5.9,100,15
2024-03-24 14:04:59.397342,5.9,100,13
2024-03-24 15:05:49.176652,5.9,100,12
2024-03-24 16:07:22.910721,5.9,100,14
2024-03-24 17:06:16.270603,5.9,100,12
2024-03-24 18:09:43.618632,5.9,100,12
2024-03-24 19:07:05.887870,5.9,100,6
2024-03-24 20:06:32.622793,5.9,100,6
2024-03-24 21:04:48.178832,5.9,100,6
2024-03-24 22:08:07.867121,5.9,100,6
2024-03-24 23:07:32.321024,3.3,19,10
2024-03-25 00:33:08.465551,3.3,49,10
2024-03-25 01:41:51.123372,3.3,49,10
2024-03-25 02:17:05.845148,3.3,49,10
2024-03-25 03:09:02.290708,3.3,49,10
2024-03-25 04:09:38.627156,3.3,49,10
2024-03-25 05:07:36.203024,3.3,49,10
2024-03-25 06:10:19.504292,3.3,49,9
2024-03-25 07:07:14.899423,3.3,49,8
2024-03-25 08:11:06.967886,3.3,49,8
2024-03-25 09:07:32.082853,3.3,49,8
2024-03-25 10:07:34.379745,3.3,49,8
2024-03-25 11:06:34.706544,3.3,49,7
2024-03-25 12:11:55.994367,3.3,49,7
2024-03-25 13:07:03.791668,3.3,49,8
2024-03-25 14:06:43.464333,3.3,49,7
2024-03-25 15:08:00.767020,3.3,49,7
2024-03-25 16:08:45.959730,3.3,49,2
2024-03-25 17:07:31.952988,3.3,49,3
2024-03-25 18:09:27.456864,3.3,49,2
2024-03-25 19:06:24.302508,3.3,49,2
2024-03-25 20:07:57.828416,3.3,49,4
2024-03-25 21:05:42.387081,3.3,49,4
2024-03-25 22:07:10.847332,3.3,49,4
2024-03-25 23:06:47.450499,5.8,0,4
2024-03-26 00:31:15.714544,5.8,0,4
2024-03-26 01:39:36.812628,5.8,0,4
2024-03-26 02:13:49.641297,5.8,0,4
2024-03-26 03:07:34.898146,5.8,0,4
2024-03-26 04:08:16.121532,5.8,0,4
2024-03-26 05:07:05.108131,5.8,0,4
2024-03-26 06:10:17.884464,5.8,0,2
2024-03-26 07:07:09.979115,5.8,0,2
2024-03-26 08:09:10.853804,5.8,0,1
2024-03-26 09:06:43.634900,5.8,0,10
2024-03-26 10:08:44.616209,5.8,0,10
2024-03-26 11:07:06.246080,5.8,0,11
2024-03-26 12:12:53.339962,5.8,0,11
2024-03-26 13:06:54.077287,5.8,0,10
2024-03-26 14:06:51.031077,5.8,0,8
2024-03-26 15:06:59.469019,5.8,0,9
2024-03-26 16:08:54.039873,5.8,0,12
2024-03-26 17:05:56.394913,5.8,0,12
2024-03-26 18:08:46.925009,5.8,0,13
2024-03-26 19:06:19.058965,5.8,0,14
2024-03-26 20:07:56.084134,5.8,0,12
2024-03-26 21:07:10.054438,5.8,0,11
2024-03-26 22:07:08.844777,5.8,0,11
2024-03-26 23:07:45.735264,10.1,0,11
2024-03-27 00:31:14.587038,10.1,0,11
