time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:12.982913,10.2,40,5
2024-03-11 22:44:05.000092,10.2,40,6
2024-03-11 23:07:59.209110,7.5,100,6
2024-03-12 00:31:08.427582,7.5,98,6
2024-03-12 01:38:36.100356,7.5,98,6
2024-03-12 02:12:58.432839,7.5,98,6
2024-03-12 03:08:13.434187,7.5,98,6
2024-03-12 04:08:43.370485,7.5,98,6
2024-03-12 05:08:46.697800,7.5,98,8
2024-03-12 06:09:04.918647,7.5,98,15
2024-03-12 07:07:10.349041,7.5,98,22
2024-03-12 08:08:55.607578,7.5,98,4
2024-03-12 09:07:42.987737,7.5,98,5
2024-03-12 10:07:18.443116,7.5,98,5
2024-03-12 11:05:06.736214,7.5,98,7
2024-03-12 12:11:45.421715,7.5,98,13
2024-03-12 13:07:03.443902,7.5,98,11
2024-03-12 14:06:34.252137,7.5,98,11
2024-03-12 15:06:43.572630,7.5,98,13
2024-03-12 16:09:00.468592,7.5,98,14
2024-03-12 17:07:00.920699,7.5,98,21
2024-03-12 18:08:42.949670,7.5,98,19
2024-03-12 19:04:49.465584,7.5,98,22
2024-03-12 20:07:29.011212,7.5,98,15
2024-03-12 21:07:14.639344,7.5,98,10
2024-03-12 22:06:29.146891,7.5,98,10
2024-03-12 23:07:40.412257,6.4,0,8
2024-03-13 00:31:08.499751,6.4,0,5
2024-03-13 01:41:43.461655,6.4,0,7
2024-03-13 02:15:36.324363,6.4,0,8
2024-03-13 03:08:57.239332,6.4,0,14
2024-03-13 04:08:19.251632,6.4,0,15
2024-03-13 05:07:38.444061,6.4,0,17
2024-03-13 06:09:35.986281,6.4,0,21
2024-03-13 07:06:40.982992,6.4,0,21
2024-03-13 08:08:53.823171,6.4,0,22
2024-03-13 09:07:47.201136,6.4,0,14
2024-03-13 10:07:37.309735,6.4,0,13
2024-03-13 11:07:47.230215,6.4,0,14
2024-03-13 12:12:32.095406,6.4,0,17
2024-03-13 13:06:45.495195,6.4,0,21
2024-03-13 14:06:52.810479,6.4,0,21
2024-03-13 15:07:42.647415,6.4,0,15
2024-03-13 16:08:00.553026,6.4,0,9
2024-03-13 17:29:00.804826,6.4,0,6
2024-03-13 18:08:33.901519,6.4,0,8
2024-03-13 19:06:16.737113,6.4,0,17
2024-03-13 20:06:56.003163,6.4,0,19
2024-03-13 21:07:27.119114,6.4,0,19
2024-03-13 22:06:33.730579,6.4,0,21
2024-03-13 23:07:19.362901,4.6,0,21
2024-03-14 00:30:56.093193,4.6,0,20
2024-03-14 01:39:09.055195,4.6,0,20
2024-03-14 02:13:27.545209,4.6,0,20
2024-03-14 03:08:00.540605,4.6,0,20
2024-03-14 04:08:20.894906,4.6,0,20
2024-03-14 05:06:44.228852,4.6,0,21
2024-03-14 06:09:01.601469,4.6,0,22
2024-03-14 07:07:49.673713,4.6,0,22
2024-03-14 08:09:20.292332,4.6,0,22
2024-03-14 09:07:03.048725,4.6,0,8
2024-03-14 10:07:33.925296,4.6,0,12
2024-03-14 11:05:17.981634,4.6,0,16
2024-03-14 12:13:06.349124,4.6,0,21
2024-03-14 13:07:09.299558,4.6,0,22
2024-03-14 14:06:51.281889,4.6,0,20
2024-03-14 15:43:25.640609,4.6,0,15
2024-03-14 16:08:54.520251,4.6,0,14
2024-03-14 17:06:23.801891,4.6,0,9
2024-03-14 18:08:31.799378,4.6,0,13
2024-03-14 19:05:20.969882,4.6,0,21
2024-03-14 20:07:52.365652,4.6,0,20
2024-03-14 21:07:10.997417,4.6,0,19
2024-03-14 22:06:24.600265,4.6,0,19
2024-03-14 23:06:52.105348,8.3,0,22
2024-03-15 00:31:19.226486,8.3,0,21
2024-03-15 01:40:09.812260,8.3,0,22
2024-03-15 02:14:28.370979,8.3,0,22
2024-03-15 03:07:43.554098,8.3,0,22
2024-03-15 04:09:13.050788,8.3,0,22
2024-03-15 05:08:08.268637,8.3,0,22
2024-03-15 06:09:29.967834,8.3,0,21
2024-03-15 07:07:33.558897,8.3,0,21
2024-03-15 08:09:14.369252,8.3,0,10
2024-03-15 09:07:07.872098,8.3,0,12
2024-03-15 10:07:04.309281,8.3,0,17
2024-03-15 11:05:18.969218,8.3,0,22
2024-03-15 12:11:35.700913,8.3,0,20
2024-03-15 13:07:53.755721,8.3,0,22
2024-03-15 14:07:24.665246,8.3,0,20
2024-03-15 15:07:04.410433,8.3,0,22
2024-03-15 16:08:36.048117,8.3,0,18
2024-03-15 17:05:21.346504,8.3,0,16
2024-03-15 18:10:07.584055,8.3,0,19
2024-03-15 19:04:36.206510,8.3,0,22
2024-03-15 20:11:24.358827,8.3,0,22
2024-03-15 21:04:51.500218,8.3,0,19
2024-03-15 22:07:21.624703,8.3,0,21
2024-03-15 23:07:19.457023,10.4,0,21
2024-03-16 00:29:52.521856,10.4,10,21
2024-03-16 01:37:18.840270,10.4,10,16
2024-03-16 02:12:39.910981,10.4,10,16
2024-03-16 03:07:59.352227,10.4,10,15
2024-03-16 04:07:57.303494,10.4,10,15
2024-03-16 05:06:43.627374,10.4,10,15
2024-03-16 06:08:40.904519,10.4,10,16
2024-03-16 07:06:47.149772,10.4,10,17
2024-03-16 08:08:19.037256,10.4,10,20
2024-03-16 09:05:31.512068,10.4,10,20
2024-03-16 10:07:02.089937,10.4,10,22
2024-03-16 11:04:11.049832,10.4,10,22
2024-03-16 12:11:16.747121,10.4,10,20
2024-03-16 13:06:22.538926,10.4,10,22
2024-03-16 14:04:38.685888,10.4,10,21
2024-03-16 15:05:11.124302,10.4,10,20
2024-03-16 16:06:53.539180,10.4,10,21
2024-03-16 17:04:37.414191,10.4,10,22
2024-03-16 18:08:35.005438,10.4,10,21
2024-03-16 19:03:38.695107,10.4,10,22
2024-03-16 20:06:54.169162,10.4,10,21
2024-03-16 21:04:58.014756,10.4,10,22
2024-03-16 22:05:12.800050,10.4,10,22
