time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:13.448387,10.1,40,14
2024-03-11 22:44:05.322805,10.1,40,14
2024-03-11 23:07:59.586029,7.5,100,14
2024-03-12 00:31:08.894363,7.5,98,14
2024-03-12 01:38:36.411296,7.5,98,14
2024-03-12 02:12:58.808195,7.5,98,14
2024-03-12 03:08:13.757257,7.5,98,14
2024-03-12 04:08:43.685450,7.5,98,15
2024-03-12 05:08:47.073383,7.5,98,13
2024-03-12 06:09:05.235528,7.5,98,15
2024-03-12 07:07:10.874147,7.5,98,16
2024-03-12 08:08:55.916623,7.5,98,16
2024-03-12 09:07:43.308585,7.5,98,16
2024-03-12 10:07:18.817574,7.5,98,16
2024-03-12 11:05:07.060187,7.5,98,16
2024-03-12 12:11:45.944516,7.5,98,16
2024-03-12 13:07:03.964797,7.5,98,15
2024-03-12 14:06:34.570990,7.5,98,15
2024-03-12 15:06:43.887382,7.5,98,15
2024-03-12 16:09:00.799626,7.5,98,14
2024-03-12 17:07:01.256867,7.5,98,13
2024-03-12 18:08:43.261745,7.5,98,16
2024-03-12 19:04:49.789863,7.5,98,16
2024-03-12 20:07:29.333356,7.5,98,13
2024-03-12 21:07:15.016668,7.5,98,11
2024-03-12 22:06:29.463603,7.5,98,11
2024-03-12 23:07:40.877244,6.3,0,12
2024-03-13 00:31:08.821406,6.3,0,10
2024-03-13 01:41:43.972278,6.3,0,5
2024-03-13 02:15:36.810043,6.3,0,4
2024-03-13 03:08:57.759980,6.3,0,4
2024-03-13 04:08:19.633976,6.3,0,5
2024-03-13 05:07:38.755570,6.3,0,4
2024-03-13 06:09:36.312063,6.3,0,6
2024-03-13 07:06:41.514834,6.3,0,9
2024-03-13 08:08:54.286024,6.3,0,7
2024-03-13 09:07:47.515396,6.3,0,9
2024-03-13 10:07:37.773595,6.3,0,14
2024-03-13 11:07:47.547424,6.3,0,16
2024-03-13 12:12:32.486042,6.3,0,14
2024-03-13 13:06:46.018331,6.3,0,15
2024-03-13 14:06:53.334113,6.3,0,12
2024-03-13 15:07:42.973876,6.3,0,13
2024-03-13 16:08:00.930447,6.3,0,16
2024-03-13 17:29:01.117667,6.3,0,15
2024-03-13 18:08:34.283550,6.3,0,10
2024-03-13 19:06:17.049114,6.3,0,10
2024-03-13 20:06:56.326100,6.3,0,9
2024-03-13 21:07:27.442020,6.3,0,12
2024-03-13 22:06:34.056171,6.3,0,12
2024-03-13 23:07:19.891859,4.6,0,12
2024-03-14 00:30:56.560315,4.6,0,10
2024-03-14 01:39:09.442162,4.6,0,10
2024-03-14 02:13:27.856281,4.6,0,10
2024-03-14 03:08:00.855011,4.6,0,10
2024-03-14 04:08:21.206172,4.6,0,11
2024-03-14 05:06:44.692289,4.6,0,10
