time,temperature_2m,precipitation_probability,available_bike_stands
2024-03-11 19:50:08.726903,10.2,40,3
2024-03-11 22:44:02.121912,10.2,40,4
2024-03-11 23:07:55.798788,7.6,100,4
2024-03-12 00:31:04.234637,7.6,98,4
2024-03-12 01:38:33.296643,7.6,98,2
2024-03-12 02:12:55.013547,7.6,98,2
2024-03-12 03:08:10.565251,7.6,98,2
2024-03-12 04:08:40.543541,7.6,98,2
2024-03-12 05:08:43.278605,7.6,98,2
2024-03-12 06:09:02.028495,7.6,98,1
2024-03-12 07:07:05.614382,7.6,98,1
2024-03-12 08:08:52.808552,7.6,98,7
2024-03-12 09:07:40.114667,7.6,98,6
2024-03-12 10:07:15.038639,7.6,98,7
2024-03-12 11:05:03.791920,7.6,98,6
2024-03-12 12:11:40.647682,7.6,98,11
2024-03-12 13:06:58.793666,7.6,98,17
2024-03-12 14:06:31.423541,7.6,98,19
2024-03-12 15:06:40.761964,7.6,98,18
2024-03-12 16:08:57.543183,7.6,98,20
2024-03-12 17:06:57.926290,7.6,98,19
2024-03-12 18:08:40.130129,7.6,98,20
2024-03-12 19:04:46.560482,7.6,98,19
2024-03-12 20:07:26.102726,7.6,98,20
2024-03-12 21:07:11.212214,7.6,98,20
2024-03-12 22:06:26.256211,7.6,98,16
2024-03-12 23:07:36.230067,6.4,0,20
2024-03-13 00:31:05.633981,6.4,0,20
2024-03-13 01:41:38.997658,6.4,0,19
2024-03-13 02:15:31.948673,6.4,0,19
2024-03-13 03:08:52.485037,6.4,0,20
2024-03-13 04:08:15.847052,6.4,0,20
2024-03-13 05:07:35.637570,6.4,0,20
2024-03-13 06:09:33.095279,6.4,0,19
2024-03-13 07:06:36.227520,6.4,0,18
2024-03-13 08:08:49.653694,6.4,0,14
2024-03-13 09:07:44.366212,6.4,0,7
2024-03-13 10:07:33.129301,6.4,0,4
2024-03-13 11:07:44.321634,6.4,0,1
2024-03-13 12:12:28.674844,6.4,0,8
2024-03-13 13:06:40.804186,6.4,0,17
2024-03-13 14:06:48.114731,6.4,0,12
2024-03-13 15:07:39.773908,6.4,0,11
2024-03-13 16:07:57.136155,6.4,0,6
2024-03-13 17:28:57.971823,6.4,0,8
2024-03-13 18:08:30.480862,6.4,0,19
2024-03-13 19:06:13.890131,6.4,0,19
2024-03-13 20:06:53.073092,6.4,0,20
2024-03-13 21:07:24.187244,6.4,0,16
2024-03-13 22:06:30.863928,6.4,0,17
2024-03-13 23:07:14.589777,4.7,0,18
2024-03-14 00:30:51.894662,4.7,0,20
2024-03-14 01:39:04.926093,4.7,0,20
2024-03-14 02:13:24.726898,4.7,0,20
2024-03-14 03:07:57.697557,4.7,0,20
2024-03-14 04:08:18.110744,4.7,0,20
2024-03-14 05:06:39.989472,4.7,0,18
2024-03-14 06:08:58.655348,4.7,0,16
2024-03-14 07:07:46.862309,4.7,0,16
2024-03-14 08:09:16.615566,4.7,0,17
2024-03-14 09:07:00.192583,4.7,0,14
2024-03-14 10:07:30.443965,4.7,0,12
2024-03-14 11:05:13.593377,4.7,0,18
2024-03-14 12:13:03.087702,4.7,0,18
2024-03-14 13:07:04.439376,4.7,0,19
2024-03-14 14:06:48.448585,4.7,0,12
2024-03-14 15:43:22.703043,4.7,0,17
2024-03-14 16:08:50.313623,4.7,0,18
2024-03-14 17:06:20.797713,4.7,0,12
2024-03-14 18:08:28.470609,4.7,0,14
2024-03-14 19:05:18.123716,4.7,0,15
2024-03-14 20:07:49.056449,4.7,0,17
2024-03-14 21:07:08.057466,4.7,0,14
