number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,11,9,OPEN,1710072663000,46.54199,15.63831
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,17,3,OPEN,1710072394000,46.557328,15.646833
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,12,7,OPEN,1710072339000,46.558519,15.649072
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,12,8,OPEN,1710072346000,46.561555,15.65692
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,7,14,OPEN,1710072678000,46.554703,15.652826
4,maribor,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,15,5,OPEN,1710072361000,46.558498,15.64146
1,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,7,15,OPEN,1710072491000,46.562695,15.62935
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,12,8,OPEN,1710072377000,46.559319,15.63498
3,maribor,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,20,0,OPEN,1710072365000,46.560761,15.64053
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,19,1,OPEN,1710072335000,46.550683,15.639333
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,2,17,OPEN,1710072629000,46.558924,15.644443
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,7,13,OPEN,1710072529000,46.549005,15.635014
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,18,2,OPEN,1710072408000,46.552652,15.646023
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,9,11,OPEN,1710072368000,46.551963,15.651564
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,11,9,OPEN,1710072680000,46.542655,15.634329
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,13,7,OPEN,1710072357000,46.553109,15.624098
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,3,17,OPEN,1710072371000,46.556731,15.64212
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,3,17,OPEN,1710072345000,46.56196,15.650235
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,11,9,OPEN,1710072670000,46.560227,15.650781
2,maribor,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,False,False,22,22,0,OPEN,1710072352000,46.561422,15.637118
5,maribor,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,False,False,16,15,1,OPEN,1710072343000,46.56294,15.644185
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1710072323000,46.558534,15.654739
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,6,14,OPEN,1710072358000,46.548853,15.645591
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,False,False,20,3,17,OPEN,1710072577000,46.543986,15.629317
23,maribor,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,False,False,20,10,10,OPEN,1710072623000,46.545947,15.644015
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1710072510000,46.554741,15.659814
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,10,9,OPEN,1710072328000,46.565603,15.623133
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,19,1,OPEN,1710072366000,46.56056,15.652935
